id,task_id,task_name,task_type,status,assigned_device_id,assigned_device_ids,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,yj,picking,cancelled,1,1,,,,,2026-02-18T12:44:46.356563,,,19,,p1,"{""pickup_map_id"": ""19"", ""pickup_map_name"": ""test1"", ""pickup_stops"": [""p1""], ""pickup_stop_names"": [""p1 (p1)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""5"", ""end_zone"": ""5"", ""drop_zone_name"": ""5"", ""end_zone_name"": ""5"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e""}"
2,TASK0002,Auto Pickup 4-Stop - p2,picking,cancelled,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T12:48:58.739535,,,19,,"p2,c,d,e","{""pickup_map_id"": ""19"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""5"", ""drop_zone"": ""5"", ""automatic"": true}"
3,TASK0003,Auto Pickup 4-Stop - p2,picking,cancelled,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T13:00:33.075852,,,19,,"p2,c,d,e","{""pickup_map_id"": ""19"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""5"", ""drop_zone"": ""5"", ""automatic"": true}"
4,TASK0004,Auto Pickup 4-Stop - p2,picking,cancelled,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T13:24:00.833854,,,19,,"p2,c,d,e","{""pickup_map_id"": ""19"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""5"", ""drop_zone"": ""5"", ""automatic"": true}"
5,TASK0005,Auto Pickup 4-Stop - p2,picking,cancelled,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T13:26:58.774988,,,19,,"p2,c,d,e","{""pickup_map_id"": ""19"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""5"", ""drop_zone"": ""5"", ""automatic"": true}"
6,TASK0006,km,charging,cancelled,3,3,,,,,2026-02-18T13:39:47.905724,,,19,6,,"{""charging_map_id"": ""19"", ""charging_map_name"": ""test1"", ""charging_station"": ""6"", ""end_zone"": ""1""}"
7,TASK0007,task1,picking,cancelled,1,1,,,,,2026-02-18T15:46:06.379035,,,20,,p1,"{""pickup_map_id"": ""20"", ""pickup_map_name"": ""test2"", ""pickup_stops"": [""p1""], ""pickup_stop_names"": [""p1 (p1)""], ""pickup_racks"": [], ""pickup_rack_names"": [], ""drop_zone"": ""1"", ""end_zone"": ""1"", ""drop_zone_name"": ""1"", ""end_zone_name"": ""1"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e""}"
8,TASK0008,Auto Pickup 4-Stop - p2,picking,cancelled,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T15:48:21.172927,,,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
9,TASK0009,Auto Pickup 4-Stop - p2,picking,completed,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,27,2026-02-18T18:00:01.118457,2026-02-18T18:01:46.252831,2026-02-18T18:02:13.302808,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
10,TASK0010,Auto Pickup 4-Stop - p2,picking,completed,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,1,2026-02-18T18:08:14.030198,2026-02-18T18:38:59.893239,2026-02-18T18:40:01.713055,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
11,TASK0011,Auto Pickup 4-Stop - p2,picking,completed,2,2,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,1,2026-02-18T18:09:38.973882,2026-02-18T18:11:46.500622,2026-02-18T18:11:48.443003,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
12,TASK0012,Auto Pickup 4-Stop - p2,picking,completed,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,23,2026-02-18T18:40:44.549611,2026-02-18T18:41:05.783925,2026-02-18T18:41:29.131556,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
13,TASK0013,Auto Charging - rob1,charging,completed,1,1,,Automatically created charging task to 6,,6,2026-02-18T18:41:31.389972,2026-02-18T18:41:59.774780,2026-02-18T18:42:06.392017,20,6,,"{""charging_map_id"": ""20"", ""charging_station"": ""6"", ""automatic"": true}"
14,TASK0014,Auto Charging - rob1,charging,completed,1,1,,Automatically created charging task to 6,,0,2026-02-18T18:42:12.714980,2026-02-18T18:44:45.427240,2026-02-18T18:45:05.352284,20,6,,"{""charging_map_id"": ""20"", ""charging_station"": ""6"", ""automatic"": true}"
15,TASK0015,Auto Charging - rob1,charging,completed,1,1,,Automatically created charging task to 6,,24,2026-02-18T18:45:07.514279,2026-02-18T19:00:45.274896,2026-02-18T19:01:10.251811,20,6,,"{""charging_map_id"": ""20"", ""charging_station"": ""6"", ""automatic"": true}"
16,TASK0016,Auto Pickup 4-Stop - p2,picking,pending,1,1,,"Automatically created from CSV: pickup=p2, check=c, drop=d, end=e",,,2026-02-18T19:01:20.256295,,,20,,"p2,c,d,e","{""pickup_map_id"": ""20"", ""pickup_stops"": [""p2""], ""pickup_stop_id"": ""p2"", ""check_stop_id"": ""c"", ""drop_stop_id"": ""d"", ""end_stop_id"": ""e"", ""end_zone"": ""1"", ""drop_zone"": ""1"", ""automatic"": true}"
